Column1,Soil_Name,MEAN_Yld_V,COUNT_Yld_,MEAN_Eleva,RANGE_Elev,Crop-Type,V.A.T(F),R.A.T(F),M.A.T(F),V.PET(inch),R.PET(inch),M.PET(inch),V.T.R(inch),R.T.R(inch),M.T.R(inch),NormalizedYield
3,"La Prairie-Fluvaquents, Channeled Complex, 0-2",37.2317,3,1488.4843,0,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.718803092
4,"La Prairie-Fluvaquents, Channeled Complex, 0-2",27.60485263,19,1490.694511,5.2493,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.532945136
5,"Fordville-Renshaw Loams, 02 slope",21.53967333,15,1493.230547,2.9528,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.415849499
6,"Fordville-Renshaw Loams, 02 slope",23.1395,15,1492.85874,3.937,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.446736092
7,"Fordville-Renshaw Loams, 02 slope",30.08859375,16,1490.35025,0.9842,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.580896769
8,"Fordville-Renshaw Loams, 02 slope",31.90634,15,1490.212167,0.9842,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.615990563
9,"Fordville-Renshaw Loams, 02 slope",30.80184,15,1490.255907,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.594666852
10,"Fordville-Renshaw Loams, 02 slope",29.38711875,16,1491.58055,2.9527,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.567353944
11,"Fordville-Renshaw Loams, 02 slope",28.21644444,18,1493.059206,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.544752657
12,"Fordville-Renshaw Loams, 02 slope",27.97797895,19,1494.700579,3.2809,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.540148792
13,"Buse-Barnes-Darnen Loams, 3-9 slope",24.9246,18,1497.834644,5.5775,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.481199611
14,"Buse-Barnes-Darnen Loams, 3-9 slope",24.09952,15,1502.198153,7.2179,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.465270441
15,"Buse-Barnes-Darnen Loams, 3-9 slope",27.00492143,14,1506.505443,4.9213,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.521362737
16,"Buse-Barnes-Darnen Loams, 3-9 slope",29.94121176,17,1508.246482,2.2966,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.578051381
17,"Buse-Barnes-Darnen Loams, 3-9 slope",28.67360588,17,1508.420176,3.6089,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.553578713
18,"Buse-Barnes-Darnen Loams, 3-9 slope",27.88419444,18,1505.362361,3.6089,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.538338168
19,"Buse-Barnes-Darnen Loams, 3-9 slope",29.35703529,17,1503.267318,2.6247,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.566773146
20,"Buse-Barnes-Darnen Loams, 3-9 slope",32.67392143,14,1502.170043,1.3123,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.630809653
21,"Buse-Barnes-Darnen Loams, 3-9 slope",36.41343125,16,1499.413544,4.2651,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.703005422
